InventoryID,Item,Store,Brand,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,PayAmount
ITEM_0001_5,ITEM_0001,5,1,2,VENDOR_002,5114,2024-11-18,2024-11-25,2024-11-22,2024-12-01,34.0,36,1239.0
ITEM_0001_6,ITEM_0001,6,1,1,VENDOR_001,4891,2024-11-20,2024-11-25,2024-11-21,2024-12-07,34.0,30,1033.0
ITEM_0001_10,ITEM_0001,10,1,2,VENDOR_002,1119,2024-11-18,2024-11-24,2024-11-20,2024-12-04,34.0,36,1239.0
ITEM_0002_1,ITEM_0002,1,4,8,VENDOR_008,4667,2024-11-18,2024-11-23,2024-11-21,2024-12-02,89.0,67,5988.0
ITEM_0002_2,ITEM_0002,2,4,8,VENDOR_008,6479,2024-11-27,2024-12-08,2024-11-29,2024-12-12,89.0,48,4290.0
ITEM_0002_5,ITEM_0002,5,4,8,VENDOR_008,5026,2024-11-22,2024-11-30,2024-11-26,2024-12-06,89.0,57,5094.0
ITEM_0002_6,ITEM_0002,6,4,5,VENDOR_005,7191,2024-11-20,2024-11-25,2024-11-22,2024-12-02,89.0,48,4290.0
ITEM_0002_7,ITEM_0002,7,4,5,VENDOR_005,5160,2024-11-21,2024-11-22,2024-11-24,2024-12-02,89.0,28,2502.0
ITEM_0002_8,ITEM_0002,8,4,8,VENDOR_008,9540,2024-11-22,2024-11-26,2024-11-24,2024-12-08,89.0,67,5988.0
ITEM_0002_9,ITEM_0002,9,4,9,VENDOR_009,8623,2024-11-18,2024-11-22,2024-11-20,2024-12-07,89.0,38,3396.0
ITEM_0003_8,ITEM_0003,8,6,8,VENDOR_008,4075,2024-11-18,2024-11-19,2024-11-20,2024-11-30,84.0,39,3275.0
ITEM_0003_10,ITEM_0003,10,6,7,VENDOR_007,9013,2024-11-18,2024-11-21,2024-11-22,2024-11-30,84.0,22,1847.0
ITEM_0004_5,ITEM_0004,5,6,8,VENDOR_008,1129,2024-11-29,2024-11-30,2024-12-03,2024-12-13,46.0,37,1712.0
ITEM_0004_10,ITEM_0004,10,6,7,VENDOR_007,3975,2024-11-18,2024-11-22,2024-11-22,2024-11-30,46.0,24,1110.0
ITEM_0005_3,ITEM_0005,3,5,6,VENDOR_006,9956,2024-11-18,2024-11-30,2024-11-22,2024-12-02,75.0,73,5467.0
ITEM_0005_5,ITEM_0005,5,5,10,VENDOR_010,5568,2024-11-21,2024-11-26,2024-11-25,2024-12-01,75.0,87,6515.0
ITEM_0005_6,ITEM_0005,6,5,10,VENDOR_010,6157,2024-11-18,2024-11-21,2024-11-19,2024-12-01,75.0,73,5467.0
ITEM_0005_9,ITEM_0005,9,5,10,VENDOR_010,5982,2024-11-23,2024-11-25,2024-11-25,2024-12-12,75.0,58,4343.0
ITEM_0006_1,ITEM_0006,1,7,10,VENDOR_010,9442,2024-11-18,2024-11-25,2024-11-22,2024-12-05,68.0,79,5406.0
ITEM_0006_5,ITEM_0006,5,7,10,VENDOR_010,2481,2024-11-18,2024-11-21,2024-11-22,2024-12-01,68.0,79,5406.0
ITEM_0006_6,ITEM_0006,6,7,10,VENDOR_010,4165,2024-11-18,2024-11-24,2024-11-20,2024-12-06,68.0,66,4516.0
ITEM_0006_9,ITEM_0006,9,7,10,VENDOR_010,3077,2024-11-18,2024-11-20,2024-11-20,2024-12-06,68.0,53,3627.0
ITEM_0006_10,ITEM_0006,10,7,7,VENDOR_007,3747,2024-11-18,2024-11-22,2024-11-21,2024-12-06,68.0,53,3627.0
ITEM_0007_1,ITEM_0007,1,7,10,VENDOR_010,6109,2024-11-18,2024-11-24,2024-11-21,2024-11-29,60.0,54,3233.0
ITEM_0007_5,ITEM_0007,5,7,10,VENDOR_010,4054,2024-11-18,2024-11-26,2024-11-19,2024-12-05,60.0,54,3233.0
ITEM_0007_6,ITEM_0007,6,7,10,VENDOR_010,4527,2024-11-18,2024-11-22,2024-11-21,2024-12-04,60.0,45,2694.0
ITEM_0007_9,ITEM_0007,9,7,10,VENDOR_010,1357,2024-11-20,2024-11-23,2024-11-21,2024-11-30,60.0,36,2155.0
ITEM_0007_10,ITEM_0007,10,7,7,VENDOR_007,8334,2024-11-18,2024-11-21,2024-11-20,2024-12-01,60.0,36,2155.0
ITEM_0008_4,ITEM_0008,4,8,9,VENDOR_009,3113,2024-11-21,2024-11-23,2024-11-23,2024-12-03,80.0,18,1448.0
ITEM_0009_5,ITEM_0009,5,7,10,VENDOR_010,9415,2024-11-18,2024-11-23,2024-11-20,2024-11-30,61.0,37,2244.0
ITEM_0009_10,ITEM_0009,10,7,7,VENDOR_007,6343,2024-11-18,2024-11-21,2024-11-21,2024-11-30,61.0,25,1517.0
ITEM_0010_1,ITEM_0010,1,7,10,VENDOR_010,3988,2024-11-18,2024-11-25,2024-11-22,2024-12-06,57.0,77,4403.0
ITEM_0010_5,ITEM_0010,5,7,10,VENDOR_010,3481,2024-11-18,2024-11-23,2024-11-20,2024-12-07,57.0,77,4403.0
ITEM_0010_6,ITEM_0010,6,7,1,VENDOR_001,4546,2024-11-18,2024-11-22,2024-11-21,2024-12-06,57.0,64,3660.0
ITEM_0010_9,ITEM_0010,9,7,10,VENDOR_010,7723,2024-11-21,2024-11-25,2024-11-23,2024-12-03,57.0,51,2916.0
ITEM_0010_10,ITEM_0010,10,7,7,VENDOR_007,5985,2024-11-21,2024-11-25,2024-11-22,2024-12-07,57.0,51,2916.0
ITEM_0011_1,ITEM_0011,1,1,6,VENDOR_006,7178,2024-11-19,2024-11-26,2024-11-23,2024-11-29,30.0,17,507.0
ITEM_0011_4,ITEM_0011,4,1,4,VENDOR_004,7787,2024-11-18,2024-11-22,2024-11-21,2024-12-04,30.0,22,656.0
ITEM_0011_10,ITEM_0011,10,1,4,VENDOR_004,1071,2024-11-27,2024-12-03,2024-12-01,2024-12-10,30.0,40,1193.0
ITEM_0012_2,ITEM_0012,2,10,3,VENDOR_003,3820,2024-11-18,2024-11-21,2024-11-21,2024-12-01,83.0,44,3645.0
ITEM_0012_5,ITEM_0012,5,10,2,VENDOR_002,2730,2024-11-18,2024-11-23,2024-11-20,2024-11-29,83.0,88,7290.0
ITEM_0012_6,ITEM_0012,6,10,1,VENDOR_001,9770,2024-11-18,2024-11-23,2024-11-21,2024-12-03,83.0,73,6047.0
ITEM_0012_7,ITEM_0012,7,10,5,VENDOR_005,8990,2024-11-18,2024-11-20,2024-11-20,2024-11-30,83.0,44,3645.0
ITEM_0012_8,ITEM_0012,8,10,5,VENDOR_005,3970,2024-11-18,2024-11-26,2024-11-19,2024-12-05,83.0,103,8532.0
ITEM_0012_10,ITEM_0012,10,10,5,VENDOR_005,1189,2024-11-20,2024-11-21,2024-11-23,2024-12-09,83.0,29,2402.0
ITEM_0013_1,ITEM_0013,1,5,6,VENDOR_006,8642,2024-11-21,2024-11-22,2024-11-24,2024-12-08,76.0,36,2753.0
ITEM_0013_3,ITEM_0013,3,5,6,VENDOR_006,1918,2024-11-27,2024-11-28,2024-11-29,2024-12-16,76.0,60,4588.0
ITEM_0013_5,ITEM_0013,5,5,10,VENDOR_010,3802,2024-11-18,2024-11-22,2024-11-22,2024-11-29,76.0,72,5505.0
